timestamp,Open,High,Low,Close,Volume,Return,VIX
2019-04-17,57.5217,57.5217,57.5217,57.5217,11163.0,,12.600000381469727
2019-04-18,55.9229,55.9229,55.9229,55.9229,71272.0,-0.027794727902687222,12.09000015258789
2019-06-20,57.0109,57.0109,57.0109,57.0109,1571.0,0.0194553572865499,14.75
2019-06-26,57.8477,57.9634,57.8477,57.9634,4168.0,0.01670733140504721,16.209999084472656
2019-06-27,58.623,58.623,58.623,58.623,3402.0,0.011379594709765017,15.819999694824219
2019-06-28,59.972,60.092,59.972,60.092,6450.0,0.025058424167988758,15.079999923706055
2019-08-21,59.8186,59.8186,59.8186,59.8186,143540.0,-0.004549690474605517,15.800000190734863
2019-08-27,57.1565,57.1565,57.1565,57.1565,12488.0,-0.0445028803750005,20.309999465942383
2019-09-17,59.0794,59.0794,59.0794,59.0794,80136.0,0.03364271780112493,14.4399995803833
2019-09-23,58.9871,58.9871,58.9871,58.9871,100041.0,-0.0015623042888045502,14.90999984741211
2019-10-24,57.7858,57.7906,57.7747,57.7906,324914.0,-0.020284096014213326,13.710000038146973
2019-11-05,58.4868,58.4868,58.2043,58.2043,316926.0,0.007158603648344197,13.100000381469727
2019-11-06,58.2408,58.2408,58.2408,58.2408,214025.0,0.0006271014340863967,12.619999885559082
2019-11-07,58.4237,58.4237,58.3489,58.3489,483062.0,0.0018560871416601898,12.729999542236328
2019-11-08,58.1044,58.1044,58.1044,58.1044,164839.0,-0.0041903103571789835,12.069999694824219
2019-11-11,58.0995,58.0995,57.9679,57.9803,162785.0,-0.0021358107131301818,12.6899995803833
2020-01-23,60.242,60.242,60.242,60.242,84.0,0.03900807688128549,12.979999542236328
2020-02-06,59.0309,59.0309,59.0309,59.0309,188096.0,-0.020103914212675433,14.960000038146973
2020-02-10,59.6782,59.6782,59.6782,59.6782,90.0,0.010965443521951945,15.039999961853027
2020-03-11,51.4859,51.5116,51.4859,51.5116,27918.0,-0.13684393966305952,53.900001525878906
2020-03-16,43.2202,43.2202,43.2202,43.2202,457.0,-0.16096180277840333,82.69000244140625
2020-04-01,48.6987,48.6987,48.6987,48.6987,341.0,0.1267578585938982,57.060001373291016
2020-04-02,47.9345,47.9345,47.522,47.522,54586.0,-0.02416286266368517,50.90999984741211
2020-04-03,48.313,48.313,48.313,48.313,195.0,0.016644922351752856,46.79999923706055
2020-04-16,48.9721,48.9721,48.9721,48.9721,1517.0,0.013642290894790188,40.11000061035156
2020-04-17,50.3019,50.3019,49.6086,49.6086,43786.0,0.012997196362827035,38.150001525878906
2020-04-22,50.3742,50.3742,50.3742,50.3742,509540.0,0.015432808021189848,41.97999954223633
2020-04-23,51.841,51.841,51.841,51.841,230709.0,0.029118080287131143,41.380001068115234
2020-04-29,51.7442,51.7442,51.7442,51.7442,250.0,-0.0018672479311742096,31.229999542236328
2020-04-30,51.4715,51.4715,51.4715,51.4715,181443.0,-0.005270155882205141,34.150001525878906
2020-05-06,50.154,50.154,50.154,50.154,926172.0,-0.025596689430072872,34.119998931884766
2020-05-22,59.9229,59.9229,59.9229,59.9229,91.0,0.19477808350281123,28.15999984741211
2020-05-27,58.4104,58.4201,58.4104,58.4201,214.0,-0.0250788930442285,27.6200008392334
2020-06-03,61.4173,61.4173,61.4173,61.4173,354.0,0.05130426000640198,25.65999984741211
2020-06-12,55.6481,55.6481,55.6481,55.6481,58.0,-0.09393444518075522,36.09000015258789
2020-06-24,55.4141,55.4141,55.4141,55.4141,25.0,-0.004204995318798033,33.84000015258789
2020-07-29,55.0986,55.0986,55.0986,55.0986,81.0,-0.005693496781505103,24.100000381469727
2020-08-20,53.6385,53.6385,53.6385,53.6385,76475.0,-0.026499765874268943,22.719999313354492
2020-09-15,52.4341,52.4341,52.1527,52.1527,4031.0,-0.027700252617056775,25.59000015258789
2020-09-16,52.8485,52.8485,52.8485,52.8485,3000.0,0.013341591135262343,26.040000915527344
2020-09-17,52.8169,53.996,52.8169,53.9869,3800.0,0.021540819512379628,26.459999084472656
2020-09-18,53.9816,54.2181,53.9634,54.1999,3036.0,0.003945401569640072,25.829999923706055
2020-09-22,52.9971,52.9971,52.9971,52.9971,400.0,-0.022191922863326274,26.860000610351562
2020-09-25,52.1494,52.1494,52.0054,52.0054,1040.0,-0.01871234463772553,26.3799991607666
2020-09-28,53.0426,53.0658,53.0056,53.0056,409.0,0.019232618151191927,26.190000534057617
2020-09-30,52.3504,52.3688,52.3228,52.3228,513.0,-0.012881657787101708,26.3700008392334
2020-10-01,53.3137,53.3137,52.8741,52.8741,9800.0,0.010536515629897547,26.700000762939453
2020-10-02,52.1548,52.305,52.1548,52.305,4458.0,-0.010763303772546418,27.6299991607666
2020-10-05,52.927,52.927,52.744,52.744,2602.0,0.008393079055539543,27.959999084472656
2020-10-06,53.0224,53.0361,52.963,53.0361,2954.0,0.005538070681025298,29.479999542236328
2020-10-07,52.8542,52.8725,52.8542,52.8725,2023.0,-0.003084691370594639,28.059999465942383
2020-12-14,57.4989,57.4989,57.4989,57.4989,1568.0,0.08750106388008883,24.719999313354492
2021-01-11,60.1796,60.1796,60.1796,60.1796,88.0,0.04662176145978458,24.079999923706055
2021-01-20,65.6713,65.6713,65.5244,65.5244,35412.0,0.08881414964539469,21.579999923706055
2021-01-21,65.1748,65.1748,65.1748,65.1748,187.0,-0.005335417035485901,21.31999969482422
