timestamp,Open,High,Low,Close,Volume,Return,VIX,Symbol,Company
2006-03-27,279.2102,279.2102,277.5638,277.5638,515.0,,11.460000038146973,0QMG.LON,0QMG.LON
2006-03-28,272.1922,272.1922,268.4383,268.4383,90.0,-0.032877125907629146,11.579999923706055,0QMG.LON,0QMG.LON
2006-04-04,284.8166,285.5182,284.8166,285.5182,10.0,0.06362691165902912,11.140000343322754,0QMG.LON,0QMG.LON
2006-05-09,302.1329,302.1329,301.108,301.108,10.0,0.05460177319694526,11.989999771118164,0QMG.LON,0QMG.LON
2006-06-13,245.7504,247.0669,244.5929,247.0669,515.0,-0.17947414216825852,23.809999465942383,0QMG.LON,0QMG.LON
2006-07-03,289.0493,289.117,289.0493,289.117,20.0,0.17019722188605613,13.050000190734863,0QMG.LON,0QMG.LON
2007-01-10,310.2202,310.2202,309.3763,309.3763,10.0,0.07007301542282196,11.470000267028809,0QMG.LON,0QMG.LON
2007-02-16,325.7462,327.7222,325.7462,327.7222,10.0,0.05929962960963708,10.020000457763672,0QMG.LON,0QMG.LON
2007-02-20,331.9527,331.9527,327.987,327.987,12.0,0.0008080014109512756,10.239999771118164,0QMG.LON,0QMG.LON
2007-03-15,300.3338,300.3338,297.9351,297.9351,20.0,-0.09162527783113372,16.43000030517578,0QMG.LON,0QMG.LON
2007-03-28,300.0625,300.0625,299.1358,299.1358,10.0,0.0040300723211197376,14.979999542236328,0QMG.LON,0QMG.LON
2007-04-13,311.2214,311.5107,311.2214,311.5107,10.0,0.04136883649499645,12.199999809265137,0QMG.LON,0QMG.LON
2007-05-18,325.1082,325.2535,325.1082,325.2535,37.0,0.04411662263928662,12.760000228881836,0QMG.LON,0QMG.LON
2007-05-29,329.6122,329.6122,329.5637,329.5637,68.0,0.013251817428559631,13.529999732971191,0QMG.LON,0QMG.LON
2007-06-12,320.5114,321.2223,320.5114,321.2223,20.0,-0.025310433157535117,16.670000076293945,0QMG.LON,0QMG.LON
2007-07-02,320.549,321.6709,320.549,321.6709,12.0,0.0013965406511315948,15.399999618530273,0QMG.LON,0QMG.LON
2007-07-10,319.116,319.116,317.4424,317.4424,163.0,-0.013145422852984257,17.56999969482422,0QMG.LON,0QMG.LON
2007-07-13,312.5616,317.4293,312.5616,317.4293,90.0,-4.126732912812514e-05,15.149999618530273,0QMG.LON,0QMG.LON
2007-11-02,311.0822,312.6842,311.0822,312.6842,5000.0,-0.014948525545688596,23.010000228881836,0QMG.LON,0QMG.LON
