Config,Target,N_Features,Has_VIX,MAE,RMSE,R2,N_Stocks
CTC_Top6,ctc_vol,6,False,0.0022284179076328065,0.008184309420796782,0.8705982331683811,18
CTC_Top6_VIX,ctc_vol,7,True,0.0023227005469828904,0.008165054046595698,0.8606840171181251,18
EWMA_K1,ewma_vol,1,False,0.001413880175119897,0.0037314300506166775,0.9148253432852564,18
EWMA_K1_VIX,ewma_vol,2,True,0.0012514545686053654,0.0034875320513199546,0.9211547839457032,18
EWMA_K6,ewma_vol,6,False,0.001647385498965999,0.004344136084842524,0.9120686536731696,18
EWMA_K6_VIX,ewma_vol,7,True,0.0016488119598415249,0.004335650623831511,0.8986509972448642,18
