stock,features,n_features,mae,mse,rmse,r2,time
ABB_ABBNY,BASELINE_NONE,0,0.005114571232516077,5.82605975451485e-05,0.0076328629979286605,-0.21224845869783304,0.19919109344482422
ABB_ABBNY,open,1,0.0050208246737213375,5.4488762129120735e-05,0.00738165036622033,-0.13376657107218293,0.17223453521728516
ABB_ABBNY,high,1,0.005045560834399356,5.5038998305747934e-05,0.0074188272864212125,-0.14521552602873333,0.1373121738433838
ABB_ABBNY,low,1,0.0050214172480538615,5.439734906026468e-05,0.007375455854404166,-0.13186450764518654,0.1269063949584961
ABB_ABBNY,close,1,0.005034415733607184,5.475793394794755e-05,0.007399860400571591,-0.13936732245899863,0.12851953506469727
ABB_ABBNY,volume,1,0.004773735484815803,4.878035567144673e-05,0.006984293498375246,-0.014989778153547517,0.1140146255493164
ABB_ABBNY,parkinson_vol,1,0.004868485663019161,5.18273086316701e-05,0.007199118601028191,-0.07838878512207725,0.09628605842590332
ABB_ABBNY,return,1,0.004665787477787534,4.337583214816876e-05,0.006586033111681778,0.09746401715833153,0.1037147045135498
ABB_ABBNY,log_return,1,0.004660334265119431,4.3397343093918074e-05,0.006587665982267018,0.09701643144983407,0.0878455638885498
ABB_ABBNY,abs_log_return,1,0.0026562941984158966,1.6222854403471372e-05,0.004027760469972286,0.6624454421181067,0.08108019828796387
ABB_ABBNY,range_t,1,0.004707554279229068,4.25708401230534e-05,0.0065246333324604075,0.11421376540720463,0.09262251853942871
ABB_ABBNY,body,1,0.005579574897733474,5.297111011224696e-05,0.0072781254531814,-0.10218825921451313,0.17718148231506348
ABB_ABBNY,upper_wick,1,0.006352344653222207,7.877393558371193e-05,0.008875468189549885,-0.6390765975737773,0.14315271377563477
ABB_ABBNY,lower_wick,1,0.005963976827655791,6.363331044496786e-05,0.007977048980980865,-0.3240403593350474,0.11179089546203613
ABB_ABBNY,open_lag_1,1,0.005046707833302193,5.499039112010212e-05,0.0074155506282475156,-0.14420413945936095,0.08955168724060059
ABB_ABBNY,open_lag_2,1,0.005069710265786599,5.547739629112343e-05,0.007448314996770977,-0.15433742495288771,0.09765887260437012
ABB_ABBNY,open_lag_3,1,0.005073265711781745,5.567203652645943e-05,0.0074613696146524884,-0.15838737183343232,0.09607815742492676
ABB_ABBNY,high_lag_1,1,0.0050583617951751704,5.526166471843694e-05,0.007433818986122607,-0.14984862330132565,0.10888552665710449
ABB_ABBNY,high_lag_2,1,0.005086104822319771,5.59518834138429e-05,0.007480099158022098,-0.16421024307396692,0.10131406784057617
ABB_ABBNY,high_lag_3,1,0.005093610763865078,5.6126761125683405e-05,0.007491779570014284,-0.16784898427422634,0.08683156967163086
ABB_ABBNY,low_lag_1,1,0.005036622483962449,5.467995228002861e-05,0.007394589392253542,-0.13774473084949523,0.09115481376647949
ABB_ABBNY,low_lag_2,1,0.005047428115690396,5.492136985300764e-05,0.007410895347595163,-0.14276799001740192,0.13168692588806152
ABB_ABBNY,low_lag_3,1,0.005063982047238865,5.5388988354883076e-05,0.00744237786966525,-0.15249789036244743,0.13361144065856934
ABB_ABBNY,close_lag_1,1,0.00504373337595274,5.494135350974338e-05,0.007412243486943975,-0.1431837968937093,0.09907984733581543
ABB_ABBNY,close_lag_2,1,0.005062006799463783,5.538359915193117e-05,0.007442015798957375,-0.15238575534757737,0.11162233352661133
ABB_ABBNY,close_lag_3,1,0.005094753051640838,5.6063332012661e-05,0.007487545125918173,-0.16652919272148092,0.08350515365600586
ABB_ABBNY,volume_lag_1,1,0.004831193686784275,4.99775736127151e-05,0.00706948184895577,-0.039900707069154384,0.11153769493103027
ABB_ABBNY,volume_lag_2,1,0.004858910669619627,5.055568979962557e-05,0.007110252442749524,-0.05192977106883934,0.16505122184753418
