stock,features,n_features,mae,mse,rmse,r2,adj_r2,time
ABB_ABBNY,BASELINE_NONE,0,0.005114571232516077,5.82605975451485e-05,0.0076328629979286605,-0.21224845869783304,-0.21224845869783304,0.4084200859069824
ABB_ABBNY,open_lag_1,1,0.005046707833302193,5.499039112010212e-05,0.0074155506282475156,-0.14420413945936095,-0.14793118877356082,0.06321048736572266
ABB_ABBNY,open_lag_2,1,0.005069710265786599,5.547739629112343e-05,0.007448314996770977,-0.15433742495288771,-0.1580974817116918,0.04789853096008301
ABB_ABBNY,open_lag_3,1,0.005073265711781745,5.567203652645943e-05,0.0074613696146524884,-0.15838737183343232,-0.1621606206016193,0.05123186111450195
ABB_ABBNY,high_lag_1,1,0.0050583617951751704,5.526166471843694e-05,0.007433818986122607,-0.14984862330132565,-0.15359405855637887,0.05959677696228027
ABB_ABBNY,high_lag_2,1,0.005086104822319771,5.59518834138429e-05,0.007480099158022098,-0.16421024307396692,-0.1680024588494522,0.06724834442138672
ABB_ABBNY,high_lag_3,1,0.005093610763865078,5.6126761125683405e-05,0.007491779570014284,-0.16784898427422634,-0.1716530526269111,0.054465532302856445
ABB_ABBNY,low_lag_1,1,0.005036622483962449,5.467995228002861e-05,0.007394589392253542,-0.13774473084949523,-0.1414507397447704,0.05727505683898926
ABB_ABBNY,low_lag_2,1,0.005047428115690396,5.492136985300764e-05,0.007410895347595163,-0.14276799001740192,-0.14649036132039028,0.05420947074890137
ABB_ABBNY,low_lag_3,1,0.005063982047238865,5.5388988354883076e-05,0.00744237786966525,-0.15249789036244743,-0.1562519551519017,0.056913137435913086
ABB_ABBNY,close_lag_1,1,0.00504373337595274,5.494135350974338e-05,0.007412243486943975,-0.1431837968937093,-0.14690752261648998,0.0689692497253418
ABB_ABBNY,close_lag_2,1,0.005062006799463783,5.538359915193117e-05,0.007442015798957375,-0.15238575534757737,-0.1561394548763968,0.0466158390045166
ABB_ABBNY,close_lag_3,1,0.005094753051640838,5.6063332012661e-05,0.007487545125918173,-0.16652919272148092,-0.1703289620788797,0.04577374458312988
ABB_ABBNY,volume_lag_1,1,0.004831193686784275,4.99775736127151e-05,0.00706948184895577,-0.039900707069154384,-0.043288005789249295,0.05028867721557617
ABB_ABBNY,volume_lag_2,1,0.004858910669619627,5.055568979962557e-05,0.007110252442749524,-0.05192977106883934,-0.055356252407825934,0.05843472480773926
ABB_ABBNY,volume_lag_3,1,0.004899167693510817,5.149098667120028e-05,0.0071757220313498965,-0.07139081744950371,-0.07488068981904616,0.05269742012023926
ABB_ABBNY,ctc_vol_lag_1,1,0.0012102980859321735,3.1148502756367386e-06,0.0017648938425969814,0.9351882300419421,0.9349771167847497,0.049738168716430664
ABB_ABBNY,ctc_vol_lag_2,1,0.0015594362868988514,5.634200362844878e-06,0.0023736470594519477,0.8827672390321677,0.8823853733612627,0.04509377479553223
ABB_ABBNY,ctc_vol_lag_3,1,0.0017534222187742285,7.804993946626398e-06,0.002793741925559052,0.8375987840733766,0.8370697898846906,0.05230259895324707
ABB_ABBNY,parkinson_vol_lag_1,1,0.0049980442794605355,5.461863042536332e-05,0.007390441828832923,-0.13646878575221244,-0.14017063847453226,0.05026555061340332
ABB_ABBNY,parkinson_vol_lag_2,1,0.005073367828016209,5.8159624495325356e-05,0.007626245766779704,-0.21014747743132145,-0.2140893258920098,0.047884225845336914
ABB_ABBNY,parkinson_vol_lag_3,1,0.004719935047172461,4.401806311022711e-05,0.006634610999163938,0.08410089479625948,0.08111751008875556,0.04972338676452637
ABB_ABBNY,return_lag_1,1,0.004639502647890955,4.205597023800436e-05,0.006485057458342552,0.12492684166937218,0.12207644050217137,0.04158163070678711
ABB_ABBNY,return_lag_2,1,0.004577018979043101,4.114168995708754e-05,0.0064141788217267175,0.14395058855937515,0.1411621539944219,0.04684281349182129
ABB_ABBNY,return_lag_3,1,0.004630840520308014,4.224779743106856e-05,0.006499830569412449,0.12093542673497837,0.11807202421619989,0.056342124938964844
ABB_ABBNY,log_return_lag_1,1,0.004636934825783349,4.208753270118862e-05,0.006487490477926624,0.12427011055160131,0.12141757019509192,0.041036367416381836
